TE	Freq	Fraction	Tissue_Number	Sex	Type
LINE	1	0.111111111111111	28	Male	LincRNA
LTR	6	0.666666666666667	28	Male	LincRNA
SINE	1	0.111111111111111	28	Male	LincRNA
LINE	4	0.8	29	Male	LincRNA
LTR	1	0.2	29	Male	LincRNA
LTR	3	0.6	30	Male	LincRNA
SINE	2	0.4	30	Male	LincRNA
DNA	1	0.333333333333333	31	Male	LincRNA
LTR	1	0.333333333333333	31	Male	LincRNA
SINE	1	0.333333333333333	31	Male	LincRNA
DNA	2	0.153846153846154	32	Male	LincRNA
LINE	3	0.230769230769231	32	Male	LincRNA
LTR	7	0.538461538461538	32	Male	LincRNA
SINE	1	0.0769230769230769	32	Male	LincRNA
LTR	1	0.333333333333333	33	Male	LincRNA
SINE	2	0.666666666666667	33	Male	LincRNA
DNA	1	0.5	34	Male	LincRNA
LTR	1	0.5	34	Male	LincRNA
DNA	1	0.125	35	Male	LincRNA
LINE	1	0.125	35	Male	LincRNA
LTR	4	0.5	35	Male	LincRNA
SINE	2	0.25	35	Male	LincRNA
LTR	2	0.5	36	Male	LincRNA
SINE	2	0.5	36	Male	LincRNA
LINE	3	0.5	37	Male	LincRNA
LTR	2	0.333333333333333	37	Male	LincRNA
SINE	1	0.166666666666667	37	Male	LincRNA
DNA	1	0.125	38	Male	LincRNA
LINE	3	0.375	38	Male	LincRNA
LTR	1	0.125	38	Male	LincRNA
SINE	3	0.375	38	Male	LincRNA
DNA	2	0.285714285714286	39	Male	LincRNA
LINE	1	0.142857142857143	39	Male	LincRNA
LTR	1	0.142857142857143	39	Male	LincRNA
SINE	3	0.428571428571429	39	Male	LincRNA
DNA	1	0.1	40	Male	LincRNA
LINE	2	0.2	40	Male	LincRNA
LTR	1	0.1	40	Male	LincRNA
SINE	6	0.6	40	Male	LincRNA
DNA	1	0.0625	41	Male	LincRNA
LINE	3	0.1875	41	Male	LincRNA
LTR	6	0.375	41	Male	LincRNA
SINE	6	0.375	41	Male	LincRNA
LINE	2	0.153846153846154	42	Male	LincRNA
LTR	8	0.615384615384615	42	Male	LincRNA
SINE	3	0.230769230769231	42	Male	LincRNA
DNA	4	0.133333333333333	43	Male	LincRNA
LINE	4	0.133333333333333	43	Male	LincRNA
LTR	9	0.3	43	Male	LincRNA
SINE	13	0.433333333333333	43	Male	LincRNA
DNA	6	0.0512820512820513	44	Male	LincRNA
LINE	39	0.333333333333333	44	Male	LincRNA
LTR	33	0.282051282051282	44	Male	LincRNA
SINE	39	0.333333333333333	44	Male	LincRNA
DNA	2	0.0350877192982456	1	Female	LincRNA
LINE	7	0.12280701754386	1	Female	LincRNA
LTR	39	0.68421052631579	1	Female	LincRNA
SINE	9	0.157894736842105	1	Female	LincRNA
DNA	4	0.0555555555555556	2	Female	LincRNA
LINE	17	0.236111111111111	2	Female	LincRNA
LTR	38	0.527777777777778	2	Female	LincRNA
SINE	13	0.180555555555556	2	Female	LincRNA
DNA	1	0.0344827586206897	3	Female	LincRNA
LINE	7	0.241379310344828	3	Female	LincRNA
LTR	16	0.551724137931034	3	Female	LincRNA
SINE	5	0.172413793103448	3	Female	LincRNA
DNA	1	0.0454545454545455	4	Female	LincRNA
LINE	1	0.0454545454545455	4	Female	LincRNA
LTR	11	0.5	4	Female	LincRNA
SINE	9	0.409090909090909	4	Female	LincRNA
LINE	3	0.136363636363636	5	Female	LincRNA
LTR	13	0.590909090909091	5	Female	LincRNA
SINE	6	0.272727272727273	5	Female	LincRNA
LINE	2	0.117647058823529	6	Female	LincRNA
LTR	9	0.529411764705882	6	Female	LincRNA
SINE	6	0.352941176470588	6	Female	LincRNA
DNA	1	0.0555555555555556	7	Female	LincRNA
LINE	1	0.0555555555555556	7	Female	LincRNA
LTR	14	0.777777777777778	7	Female	LincRNA
SINE	2	0.111111111111111	7	Female	LincRNA
DNA	2	0.111111111111111	8	Female	LincRNA
LINE	4	0.222222222222222	8	Female	LincRNA
LTR	9	0.5	8	Female	LincRNA
SINE	3	0.166666666666667	8	Female	LincRNA
LINE	3	0.1875	9	Female	LincRNA
LTR	10	0.625	9	Female	LincRNA
SINE	3	0.1875	9	Female	LincRNA
LINE	4	0.285714285714286	10	Female	LincRNA
LTR	5	0.357142857142857	10	Female	LincRNA
SINE	5	0.357142857142857	10	Female	LincRNA
LINE	6	0.461538461538462	11	Female	LincRNA
